#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,15,15,4650,211.1,-,80.8,-,4722,202.1,-,76.0,-,-4.30%,-5.97%
3,15,5,3101,213.8,1.3%,83.2,3.0%,3087,208.6,3.3%,79.0,4.0%,-2.43%,-5.06%
3,15,3,2415,213.6,1.2%,79.2,-1.9%,2389,209.1,3.5%,77.9,2.5%,-2.11%,-1.69%
3,15,2,1979,215.8,2.2%,82.6,2.3%,1971,213.8,5.8%,79.5,4.7%,-0.94%,-3.78%
3,15,1,1601,220.1,4.3%,82.3,1.9%,1629,220.1,8.9%,82.3,8.4%,0.00%,0.00%
5,15,15,3641,196.1,-,54.4,-,3825,189.9,-,50.4,-,-3.17%,-7.35%
5,15,5,2382,199.2,1.6%,53.3,-2.1%,2393,195.0,2.7%,51.0,1.1%,-2.11%,-4.36%
5,15,3,1872,204.7,4.4%,55.3,1.6%,1837,202.6,6.7%,52.6,4.2%,-1.02%,-4.94%
5,15,2,1595,215.3,9.8%,56.4,3.7%,1572,210.7,10.9%,55.4,10.0%,-2.18%,-1.74%
5,15,1,1310,211.4,7.8%,55.7,2.3%,1314,211.4,11.3%,55.7,10.5%,0.00%,0.00%
10,15,15,3777,137.5,-,30.5,-,4012,140.0,-,28.3,-,1.80%,-7.03%
10,15,5,2253,150.8,9.7%,31.5,3.3%,2252,149.0,6.5%,30.4,7.3%,-1.17%,-3.43%
10,15,3,1788,152.4,10.8%,30.6,0.5%,1770,150.6,7.6%,30.3,6.9%,-1.18%,-1.18%
10,15,2,1522,155.6,13.2%,30.7,0.8%,1522,154.6,10.5%,30.3,6.9%,-0.64%,-1.37%
10,15,1,1259,155.8,13.3%,30.4,-0.1%,1270,155.8,11.3%,30.4,7.4%,0.00%,0.00%
,,,2343.13,190.22,6.63%,55.79,1.28%,2370.97,187.55,7.42%,53.96,6.15%,-1.30%,-3.19%
