#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,10,10,1774,158.1,-,67.1,-,1763,149.9,-,60.1,-,-5.19%,-10.43%
3,10,5,1439,159.0,0.6%,64.3,-4.2%,1436,153.9,2.6%,59.9,-0.4%,-3.23%,-6.87%
3,10,3,917,161.3,2.0%,61.2,-8.8%,909,155.3,3.6%,60.2,0.1%,-3.72%,-1.70%
3,10,2,1061,159.4,0.8%,62.0,-7.7%,1038,159.0,6.1%,59.7,-0.7%,-0.24%,-3.65%
3,10,1,923,164.4,3.9%,61.8,-7.9%,916,164.4,9.6%,61.8,2.8%,0.00%,0.00%
5,10,10,1265,136.4,-,45.0,-,1354,133.1,-,40.7,-,-2.38%,-9.47%
5,10,5,978,142.2,4.3%,43.5,-3.4%,993,140.5,5.6%,40.7,0.0%,-1.15%,-6.28%
5,10,3,799,147.3,8.0%,42.5,-5.6%,810,145.7,9.4%,42.0,3.2%,-1.12%,-1.08%
5,10,2,739,151.2,10.9%,44.0,-2.2%,737,149.1,12.0%,42.4,4.1%,-1.42%,-3.57%
5,10,1,643,149.8,9.8%,42.9,-4.7%,651,149.8,12.5%,42.9,5.3%,0.00%,0.00%
10,10,10,1651,97.4,-,26.7,-,1692,98.5,n/a,24.3,-,1.10%,-9.07%
10,10,5,1243,102.3,5.1%,26.3,-1.3%,1264,101.8,3.4%,25.3,4.5%,-0.49%,-3.76%
10,10,3,940,105.7,8.6%,26.0,-2.7%,928,105.8,7.4%,25.4,4.9%,0.04%,-2.00%
10,10,2,863,107.6,10.4%,26.4,-1.2%,838,107.1,8.7%,25.8,6.4%,-0.46%,-2.12%
10,10,1,694,107.6,10.4%,26.1,-2.1%,708,107.6,9.2%,26.1,7.6%,0.00%,0.00%
,,,1062.15,136.64,6.24%,44.38,-4.32%,1069.17,134.76,7.53%,42.49,3.14%,-1.22%,-4.00%
