#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,20,20,3689,271.1,-,101.3,-,3669,250.1,-,88.5,-,-7.77%,-12.65%
3,20,5,1868,268.0,-1.1%,99.3,-2.0%,1867,258.7,3.5%,93.0,5.1%,-3.48%,-6.33%
3,20,3,1486,259.8,-4.2%,93.8,-7.4%,1483,256.5,2.6%,91.9,3.9%,-1.25%,-1.98%
3,20,2,1366,266.2,-1.8%,95.5,-5.7%,1347,262.8,5.1%,93.7,5.9%,-1.25%,-1.93%
3,20,1,1162,271.6,0.2%,97.5,-3.7%,1165,271.6,8.6%,97.5,10.2%,0.00%,0.00%
5,20,20,3829,249.4,-,62.7,-,3756,237.2,-,60.1,-,-4.86%,-4.18%
5,20,5,1973,253.2,1.6%,63.6,1.4%,1935,248.3,4.6%,61.1,1.7%,-1.96%,-3.84%
5,20,3,1490,259.0,3.9%,62.1,-1.1%,1485,254.4,7.2%,60.9,1.3%,-1.80%,-1.90%
5,20,2,1338,265.8,6.6%,64.3,2.5%,1352,266.4,12.3%,63.4,5.5%,0.21%,-1.31%
5,20,1,1212,264.9,6.2%,63.4,1.0%,1223,264.9,11.7%,63.4,5.4%,0.00%,0.00%
10,20,20,4690,181.1,-,34.2,-,4672,185.3,-,31.8,-,2.35%,-7.19%
10,20,5,2248,201.4,11.2%,34.8,1.6%,2222,193.7,4.5%,32.8,3.3%,-3.79%,-5.66%
10,20,3,1923,203.1,12.1%,33.0,-3.5%,1849,199.6,7.7%,33.0,3.8%,-1.70%,-0.15%
10,20,2,1873,209.9,15.9%,33.2,-2.9%,1875,208.4,12.4%,33.2,4.5%,-0.72%,-0.06%
10,20,1,1358,206.5,14.1%,33.1,-3.2%,1359,207.2,11.8%,32.9,3.5%,0.34%,-0.69%
,,,2100.39,242.06,5.38%,64.78,-1.93%,2084.02,237.67,7.67%,62.48,4.51%,-1.71%,-3.19%
