#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,15,15,1697,211.8,-,82.1,-,1667,206.9,-,77.9,-,-2.30%,-5.14%
3,15,5,1318,216.8,2.3%,84.0,2.2%,1249,209.9,1.4%,79.3,1.8%,-3.19%,-5.53%
3,15,3,1060,213.2,0.7%,79.3,-3.5%,1045,210.2,1.6%,78.0,0.1%,-1.41%,-1.60%
3,15,2,935,218.9,3.4%,83.6,1.8%,927,215.4,4.1%,79.5,2.0%,-1.59%,-4.95%
3,15,1,885,222.3,4.9%,82.8,0.8%,876,222.3,7.4%,82.8,6.3%,0.00%,0.00%
5,15,15,2023,198.7,-,54.8,-,2040,190.3,-,51.4,-,-4.23%,-6.25%
5,15,5,1213,201.1,1.2%,54.2,-1.2%,1188,195.2,2.6%,52.2,1.4%,-2.92%,-3.76%
5,15,3,1042,205.8,3.6%,56.2,2.4%,1018,202.7,6.5%,53.1,3.3%,-1.48%,-5.45%
5,15,2,915,215.9,8.7%,57.3,4.4%,909,211.7,11.3%,56.0,8.9%,-1.94%,-2.24%
5,15,1,905,213.4,7.4%,56.4,2.8%,905,213.4,12.2%,56.4,9.6%,0.00%,0.00%
10,15,15,2495,137.5,-,30.5,-,2591,140.0,-,28.3,-,1.77%,-7.06%
10,15,5,1363,150.8,9.6%,31.5,3.3%,1360,149.0,6.5%,30.4,7.3%,-1.17%,-3.43%
10,15,3,1154,152.4,10.8%,30.6,0.5%,1142,150.6,7.6%,30.3,6.9%,-1.18%,-1.18%
10,15,2,1024,155.6,13.2%,30.7,0.7%,984,154.6,10.5%,30.3,6.9%,-0.64%,-1.37%
10,15,1,1127,155.8,13.3%,30.4,-0.2%,1109,155.8,11.3%,30.4,7.4%,0.00%,0.00%
,,,1277.09,191.34,6.59%,56.28,1.18%,1267.39,188.54,6.91%,54.41,5.17%,-1.35%,-3.20%
