#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,10,10,621,161.0,-,68.3,-,632,150.2,-,60.6,-,-6.74%,-11.25%
3,10,5,667,159.5,-0.9%,64.8,-5.0%,668,155.5,3.5%,60.2,-0.6%,-2.52%,-7.10%
3,10,3,627,161.2,0.1%,61.3,-10.3%,622,156.0,3.9%,60.2,-0.7%,-3.27%,-1.76%
3,10,2,592,160.3,-0.4%,62.5,-8.4%,597,159.4,6.2%,59.9,-1.2%,-0.56%,-4.30%
3,10,1,603,165.6,2.9%,62.0,-9.2%,601,165.6,10.3%,62.0,2.3%,0.00%,0.00%
5,10,10,988,136.4,-,45.0,-,946,133.5,-,40.9,-,-2.13%,-9.09%
5,10,5,702,142.5,4.4%,43.7,-2.9%,698,140.6,5.3%,40.7,-0.4%,-1.29%,-6.73%
5,10,3,609,147.9,8.4%,43.3,-3.8%,613,146.2,9.5%,41.8,2.3%,-1.15%,-3.35%
5,10,2,602,152.3,11.6%,44.0,-2.2%,597,150.1,12.4%,42.4,3.7%,-1.43%,-3.59%
5,10,1,604,150.8,10.6%,42.9,-4.6%,606,150.8,13.0%,42.9,4.9%,0.00%,0.00%
10,10,10,1207,97.4,-,26.7,-,1212,98.5,n/a,24.3,-,1.06%,-9.18%
10,10,5,861,102.3,5.1%,26.3,-1.4%,856,101.8,3.4%,25.3,4.5%,-0.49%,-3.76%
10,10,3,683,105.7,8.5%,26.0,-2.8%,679,105.8,7.4%,25.4,4.9%,0.04%,-2.00%
10,10,2,627,107.6,10.4%,26.4,-1.3%,649,107.1,8.7%,25.8,6.4%,-0.46%,-2.12%
10,10,1,632,107.6,10.4%,26.1,-2.2%,631,107.6,9.2%,26.1,7.6%,0.00%,0.00%
,,,708.36,137.20,5.92%,44.61,-4.51%,707.12,135.23,7.75%,42.57,2.81%,-1.26%,-4.28%
